,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
66770,Friday,Spring,7,BAYVIEW,"ARREST, BOOKED",-122.38260970304701,37.730902509229395,10,PS,far,Primary School,94788,1
77581,Saturday,Fall,17,PARK,"ARREST, BOOKED",-122.451864552636,37.7693505381781,5,IND,close,High School,110167,0
66228,Friday,Spring,3,BAYVIEW,"ARREST, BOOKED",-122.391648748966,37.7362897860778,10,CDC,far,Pre-School,94014,4
77107,Thursday,Winter,1,NORTHERN,"ARREST, BOOKED",-122.419295456225,37.7878052240334,3,PS,close,Primary School,109450,4
72145,Tuesday,Summer,18,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,102432,1
81082,Thursday,Fall,16,SOUTHERN,"ARREST, BOOKED",-122.40340479147905,37.775420706711,6,PS,far,High School,115393,1
67218,Saturday,Summer,19,NORTHERN,"ARREST, BOOKED",-122.418940110957,37.7860492230028,6,CDC,far,Pre-School,95395,1
70065,Tuesday,Spring,18,MISSION,"ARREST, BOOKED",-122.433075152376,37.7641937790293,8,PS,far,Primary School,99440,2
80116,Thursday,Winter,14,INGLESIDE,"ARREST, BOOKED",-122.40921525596941,37.73617324989553,9,PS,very far,Primary School,113910,2
77817,Wednesday,Fall,17,NORTHERN,"ARREST, BOOKED",-122.4245611166,37.7843677003184,5,IND,close,Primary School,110504,2
82882,Tuesday,Spring,7,TENDERLOIN,"ARREST, BOOKED",-122.41550824278185,37.78165428060756,6,CDC,close,Pre-School,118154,1
76383,Saturday,Spring,23,MISSION,NONE,-122.42138194827801,37.7649480897345,9,PS,far,Primary School,108363,1
79927,Wednesday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.41474383538244,37.778719262789004,6,CC,close,College,113618,4
71684,Saturday,Winter,22,TARAVAL,"ARREST, BOOKED",-122.462629596635,37.713610097844,11,CDC,far,Pre-School,101781,1
72206,Tuesday,Summer,20,NORTHERN,"ARREST, BOOKED",-122.420078493883,37.7835214867196,6,CDC,very close,Pre-School,102520,2
63849,Wednesday,Summer,10,MISSION,"ARREST, BOOKED",-122.432763469984,37.7614251526828,8,IND,far,Primary School,90700,2
76323,Friday,Winter,17,SOUTHERN,NONE,-122.424336949139,37.771292378056,5,CDC,close,Pre-School,108282,2
70121,Saturday,Summer,19,TENDERLOIN,"ARREST, BOOKED",-122.40485851617399,37.7872026250974,6,CC,far,College,99514,1
78123,Wednesday,Fall,17,INGLESIDE,"ARREST, BOOKED",-122.43115257144969,37.71659336875558,11,IND,very far,Primary School,110941,0
79607,Friday,Fall,11,SOUTHERN,"ARREST, BOOKED",-122.41356409174415,37.77951403006305,6,CC,very close,College,113138,2
69158,Sunday,Spring,0,SOUTHERN,"ARREST, BOOKED",-122.40953666269199,37.78269112134721,6,IND,far,Primary School,98134,0
75168,Sunday,Summer,13,SOUTHERN,"ARREST, BOOKED",-122.411071423064,37.7817511307229,6,PS,close,High School,106693,0
67833,Wednesday,Spring,19,SOUTHERN,"ARREST, BOOKED",-122.41197948750099,37.780903969652904,6,IND,close,Primary School,96266,0
80864,Wednesday,Spring,22,PARK,"ARREST, BOOKED",-122.43809837803691,37.780638858376186,5,IND,close,Pre-School,115062,2
76078,Thursday,Fall,13,MISSION,"ARREST, BOOKED",-122.426955631709,37.769247063207004,8,CDC,close,Pre-School,107943,3
64871,Wednesday,Summer,17,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,92119,1
68885,Friday,Summer,11,PARK,"ARREST, BOOKED",-122.45868018978202,37.748155469233204,7,CDC,close,Pre-School,97744,0
77369,Friday,Winter,17,SOUTHERN,NONE,-122.41107142306448,37.7817511307229,6,PS,close,High School,109852,0
66737,Monday,Winter,9,TENDERLOIN,"ARREST, BOOKED",-122.41219255572099,37.781604574125204,6,PS,close,High School,94737,0
71513,Thursday,Summer,16,SOUTHERN,"ARREST, BOOKED",-122.414110572628,37.776707819492394,6,CDC,far,Pre-School,101536,4
69954,Friday,Fall,18,MISSION,"ARREST, BOOKED",-122.410478069487,37.7662463209137,9,CDC,far,Pre-School,99285,0
78479,Monday,Winter,13,SOUTHERN,"ARREST, BOOKED",-122.40787711735226,37.780387501355456,6,IND,very far,Pre-School,111483,2
81110,Thursday,Spring,14,TARAVAL,NONE,-122.45475600208357,37.713257907406735,11,PS,very far,Primary School,115440,0
70424,Saturday,Spring,20,TENDERLOIN,"ARREST, BOOKED",-122.415414178631,37.784476659022005,6,CDC,close,Pre-School,99971,0
81201,Sunday,Summer,19,RICHMOND,"ARREST, BOOKED",-122.51033999219835,37.76400005979816,4,CDC,very far,Pre-School,115582,0
70512,Wednesday,Spring,10,SOUTHERN,"ARREST, BOOKED",-122.408953598279,37.783287873572,6,IND,far,Primary School,100087,1
67089,Wednesday,Summer,17,TENDERLOIN,"ARREST, BOOKED",-122.409853729941,37.7833862379382,6,IND,far,Primary School,95227,1
