,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
6890,Monday,Winter,1,TENDERLOIN,"ARREST, BOOKED",-122.414433155063,37.7846576329256,6,CDC,close,Pre-School,9938,4
19676,Monday,Summer,19,PARK,"ARREST, BOOKED",-122.453512911126,37.7686969786551,5,IND,far,High School,28264,0
26499,Thursday,Spring,18,TENDERLOIN,"ARREST, BOOKED",-122.41076876635,37.7832145189783,6,IND,close,Primary School,37852,1
8961,Monday,Winter,21,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,12889,1
29646,Tuesday,Spring,15,PARK,"ARREST, BOOKED",-122.451864552636,37.7693505381781,5,IND,close,High School,42316,0
971,Saturday,Spring,23,TENDERLOIN,"ARREST, BOOKED",-122.414433155063,37.7846576329256,6,CDC,close,Pre-School,1359,1
11948,Monday,Spring,11,SOUTHERN,NONE,-122.40409466245,37.787256092799296,6,CC,far,College,17236,0
10486,Saturday,Spring,12,TARAVAL,"ARREST, BOOKED",-122.475662603868,37.7171408545629,11,CDC,very far,Pre-School,15119,2
22545,Thursday,Winter,10,SOUTHERN,"ARREST, BOOKED",-122.40749684872,37.7795496260755,6,PS,very far,Primary School,32284,2
21399,Tuesday,Fall,17,MISSION,"ARREST, BOOKED",-122.413452850385,37.758151459573895,9,PS,close,High School,30696,1
16141,Friday,Winter,0,TENDERLOIN,"ARREST, BOOKED",-122.412758759499,37.7850960963726,6,CDC,close,Pre-School,23207,1
24671,Thursday,Winter,17,SOUTHERN,"ARREST, BOOKED",-122.408595110869,37.7837069301545,6,IND,very far,Primary School,35264,0
15542,Monday,Fall,13,MISSION,"ARREST, BOOKED",-122.420580440119,37.76499686229821,9,PS,far,Primary School,22335,4
21152,Wednesday,Winter,20,TENDERLOIN,"ARREST, BOOKED",-122.415858343095,37.7830505366842,6,CDC,far,Pre-School,30360,1
29731,Thursday,Spring,19,TENDERLOIN,"ARREST, BOOKED",-122.41241426358101,37.7830037964534,6,IND,very close,Primary School,42451,4
